id,panel_id,track_id,role,datecreated,datemodified
199,735,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
200,727,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
201,736,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
202,737,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
203,738,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
204,739,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
205,740,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
206,741,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
207,742,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
208,743,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
209,744,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
210,745,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
211,746,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
212,747,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
213,749,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
214,750,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
215,751,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
216,752,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
217,753,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
218,754,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
219,755,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
220,756,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
221,757,7,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
222,759,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
224,761,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
225,762,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
226,764,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
227,765,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
228,766,3,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
229,767,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
230,613,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
231,644,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
232,710,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
233,696,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
234,709,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
235,659,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
236,708,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
237,666,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
238,768,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
239,769,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
240,770,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
241,771,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
242,772,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
243,773,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
244,774,8,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
245,775,1,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
246,776,2,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
247,777,NULL,NULL,2011-01-01 00:00:00.000,2011-01-01 00:00:00.000
